mmu_geneid	mmu_counts	hsa_geneid	has_counts	dme_geneid	dme_counts
14991	13	498	5	36991	2
14997	13	501	15	41432	2
15006	13	506	5	50178	2
15007	13	509	5	43693	2
15013	13	513	5	31762	2
15018	13	514	5	31604	2
15019	13	515	5	33443	2
15024	13	516	5	41745	2
15039	13	517	5	32586	2
15042	13	518	5	39846	2
15043	13	521	2	41845	2
15051	13	522	5	42759	2
15894	13	523	8	38612	2
16183	13	525	8	39761	2
16189	13	526	8	32434	2
16337	13	527	10	32740	2
16398	13	528	8	46069	2
16402	13	529	8	40477	2
16409	13	533	9	34054	2
16410	13	534	8	36695	2
17126	13	535	10	39143	2
17161	13	537	9	33744	2
18479	13	538	1	44228	2
19878	13	539	5	38154	2
20418	13	545	4	32565	2
21947	13	549	2	50002	1
64337	13	551	1	46260	2
72535	13	552	3	43798	2
109731	13	553	3	34747	2
110446	13	554	2	32989	2
110557	13	567	1	32936	2
110696	13	570	6	35944	4
224753	13	572	27	40390	2
224754	13	573	1	37728	2
224756	13	575	1	19893539	2
224761	13	578	3	19893538	2
242705	13	581	14	19893533	2
333715	13	586	6	19893535	2
399549	13	587	6	19893540	2
